"spatial_stratum","set","set_type","depth_stratum","date","time","duration","MAJOR","latdb","latmb","londb","lonmb","latde","latme","londe","lonme","begin_depth","end_depth","mean","TRAPS_FISHED","sbe 39","hobo","ctd","cam"
"S1",1,"StRS","RD2","Oct  1 ","08:25",1483,"3C        ",48,4.3,125,56.9,48,3.6,125,57.6,675,775,732,25,"x",,,
"S1",2,"StRS","RD3","Oct  1 ","11:17",1658,"3C        ",48,1.5,126,27.5,48,1.1,126,28.3,1362,1386,1365,25,"x",,,
"S1",3,"StRS","RD1","Oct  1 ","13:44",1687,"3C        ",48,5,126,8.1,48,4.6,126,8.9,307,342,324,24,"x",,,
"S1",4,"StRS","RD2","Oct  1 ","16:15",1671,"3C        ",48,0.7,125,57.8,48,0.5,125,58.9,613,792,703,25,"x",,,
"S1",5,"StRS","RD2","Oct  1 ","19:25",1595,"3C        ",48,6.5,125,55.8,48,5.6,125,55.5,450,563,528,25,"x",,,
"Barkley Canyon",6,"StRS","D3","Oct  2 ","06:47",1425,"3C        ",48,2.1,125,58.3,,,,,651,708,665,25,"x",,,
"Barkley Canyon",7,"StRS","D5","Oct  2 ","11:04",1446,"3C        ",48,6.6,126,3.2,48,6,126,3.4,1143,1187,1164,25,"x",,,
"Barkley Canyon",8,"StRS","D4","Oct  2 ","11:47",1491,"3C        ",48,8,126,5.1,48,8.6,126,5.4,977,878,925,25,"x",,,
"Barkley Canyon",9,"StRS","D1","Oct  3 ","08:09",1343,"3C        ",48,0.8,125,54.4,48,0.4,125,55.4,346,432,366,25,"x",,,
"Barkley Canyon",10,"StRS","D2","Oct  3 ","09:12",1428,"3C        ",48,2.5,125,54.9,48,2,125,55.8,448,576,514,25,"x",,,
"S1",11,"StRS","RD2","Oct  3 ","16:36",1446,"3C        ",48,7,126,13.3,48,6.8,126,14.5,486,530,513,25,"x",,,
"S1",12,"StRS","RD1","Oct  3 ","17:52",1451,"3C        ",48,5.9,126,9.7,48,6.6,126,10.3,238,347,342,25,"x",,,
"S1",13,"StRS","RD3","Oct  3 ","20:00",1534,"3C        ",48,1.1,126,27.3,48,0.7,126,28,1282,1379,1313,25,"x",,,
"S1",14,"StRS","RD1","Oct  4 ","14:03",1372,"3C        ",48,3.2,126,15.5,48,2.5,126,16.2,307,353,377,25,"x",,,
"S1",15,"StRS","RD2","Oct  4 ","15:20",1365,"3C        ",48,0.2,126,19.4,48,0.2,126,20.5,474,521,488,24,"x",,,
"S1",16,"StRS","RD3","Oct  5 ","06:13",1454,"3C        ",48,9.8,126,49.2,48,9.5,126,50.2,1410,1319,1358,25,"x",,,
"S1",17,"StRS","RD3","Oct  5 ","08:27",1486,"3C        ",48,8.9,126,29.4,48,9.4,126,28.6,1019,922,984,25,"x",,,
"S1",18,"StRS","RD3","Oct  5 ","10:15",1466,"3C        ",48,8.9,126,26.6,48,9.6,126,26.2,1053,971,997,25,"x",,,
"S1",19,"StRS","RD3","Oct  5 ","17:37",1327,"3C        ",48,1.5,126,52.5,48,2.4,126,52.1,1097,1048,1074,25,"x",,,
"S1",20,"StRS","RD2","Oct  5 ","18:47",1412,"3C        ",48,3.6,126,42.8,48,4.3,126,42.4,699,596,646,25,"x",,,
"S1",21,"StRS","RD1","Oct  5 ","20:08",1416,"3C        ",48,8.2,126,45.6,48,8.9,126,45.9,457,401,424,25,"x",,,
"S1",22,"StRS","RD1","Oct  5 ","22:10",1378,"3C        ",48,8.6,126,42.9,48,9.1,126,42.3,362,318,335,25,"x",,,
"S2",23,"StRS","RD1","Oct  7 ","16:11",1341,"3D        ",49,4.8,127,17,49,4.2,127,17,291,362,371,25,"x",,,
"S2",24,"StRS","RD2","Oct  7 ","17:43",1358,"3D        ",49,7.1,127,15.4,49,6.9,127,16.3,494,629,591,25,"x",,,
"S2",25,"StRS","RD3","Oct  7 ","19:23",1418,"3D        ",49,6.1,127,15.8,49,5.3,127,16.4,1346,1388,1362,25,"x",,,
"S1",26,"StRS","RD1","Oct  7 ","21:11",1434,"3D        ",49,3.5,127,3.8,49,3.3,127,2.8,304,265,281,25,"x",,,
"Esperanza ",27,"StRS","D3","Oct  8 ","06:35",1434,"3D        ",49,6.5,127,26.8,49,5.9,127,27,651,781,703,25,"x",,,
"Esperanza ",28,"StRS","D1","Oct  8 ","08:36",1393,"3D        ",49,6.7,127,21.6,49,6.2,127,22.1,298,492,363,25,"x",,,
"Esperanza ",29,"StRS","D4","Oct  8 ","10:23",1424,"3D        ",49,4.3,127,22.4,49,3.5,127,22.7,845,936,859,25,"x",,,
"Esperanza ",30,"StRS","D5","Oct  8 ","11:56",1443,"3D        ",49,9.8,127,20.9,49,9.3,127,21.8,1017,1156,1104,25,"x",,,
"S2",31,"StRS","RD3","Oct  9 ","17:03",1389,"3D        ",49,4.5,127,46.8,49,4.9,127,47.7,816,1041,869,25,"x",,,
"S2",32,"StRS","RD2","Oct  9 ","19:02",1453,"3D        ",49,3.9,127,32.1,49,2.2,127,31.9,529,565,553,25,"x",,,
"Esperanza ",33,"StRS","D2","Oct  9 ","19:38",1353,"3D        ",49,1.7,127,33,49,1.3,127,33.7,647,532,546,25,"x",,,
"S2",34,"StRS","RD2","Oct  9 ","20:51",1459,"3D        ",49,7.2,127,41.1,49,6.6,127,42,739,841,794,25,"x",,,
"S2",35,"StRS","RD1","Oct 10 ","06:30",1426,"3D        ",49,8.5,127,46.1,49,8.7,127,47.2,240,274,376,25,"x",,,
"S2",36,"StRS","RD3","Oct 10 ","08:13",1433,"3D        ",50,0,127,55.8,50,0.9,127,57.1,1172,1218,1158,25,"x",,,
"S2",37,"StRS","RD2","Oct 10 ","09:49",1440,"3D        ",49,5.8,127,59,49,5.3,127,58.4,527,572,547,25,"x",,,
"S2",38,"StRS","RD3","Oct 10 ","11:24",1457,"3D        ",49,5.1,128,8.2,49,5.6,128,8.8,1275,1214,1243,24,"x",,,
"S2",39,"StRS","RD2","Oct 10 ","13:01",1457,"3D        ",50,0.2,128,9.5,49,9.5,128,9.2,680,803,731,25,"x",,,
"Quatsino Sound",40,"StRS","D5","Oct 11 ","16:49",1385,"3D        ",50,9,128,22.8,50,8.4,128,23.1,1019,1114,1061,25,"x",,,
"Quatsino Sound",41,"StRS","D4","Oct 11 ","17:51",1408,"3D        ",50,9.8,128,21.2,50,9.4,128,22.3,845,945,900,25,"x",,,
"Quatsino Sound",42,"StRS","D1","Oct 11 ","18:32",1433,"3D        ",50,0.9,128,24.6,50,1,128,25.7,285,324,300,25,"x",,,
"Quatsino Sound",43,"StRS","D2","Oct 11 ","19:13",1446,"3D        ",50,0.2,128,26,50,0,128,26.2,477,642,536,25,"x",,,
"Quatsino Sound",44,"StRS","D3","Oct 11 ","19:42",1498,"3D        ",50,1.6,128,29.7,50,1.5,128,30.8,682,838,766,25,"x",,,
"S2",45,"StRS","RD1","Oct 14 ","07:12",1361,"5A        ",50,8.2,128,39.1,50,8.2,128,40.4,192,192,192,24,"x",,,
"S2",46,"StRS","RD3","Oct 14 ","08:30",1401,"5A        ",50,4.7,128,48.1,50,4.5,128,49.2,1161,1260,1175,25,"x",,,
"S2",47,"StRS","RD1","Oct 14 ","09:59",1436,"5A        ",50,1.5,128,54.4,50,1.7,128,55.8,208,208,208,25,"x",,,
"S2",48,"StRS","RD1","Oct 14 ","10:57",1463,"5A        ",50,0.8,128,56.7,50,0.6,128,57.7,291,514,386,25,"x",,,
"S2",49,"StRS","RD1","Oct 14 ","13:11",1437,"5A        ",50,3.3,129,8.5,50,2.7,129,9.1,251,357,284,25,"x",,,
"S2",50,"StRS","RD3","Oct 14 ","15:24",1434,"5A        ",50,9.8,129,9.6,50,9.3,129,10.4,964,1220,1090,24,"x",,,
"S2",51,"StRS","RD2","Oct 14 ","17:33",1441,"5A        ",50,4.8,129,20.3,50,4.7,129,21.8,549,598,539,25,"x",,,
"Triangle Island",52,"StRS","D4","Oct 15 ","20:54",1302,"5A        ",51,0.4,129,40.1,51,0.7,129,39.8,905,962,934,25,"x",,,
"Triangle Island",53,"StRS","D3","Oct 15 ","21:34",1334,"5A        ",51,0.4,129,37.5,51,0.3,129,36.3,796,647,698,25,"x",,,
"Triangle Island",54,"StRS","D2","Oct 15 ","22:16",1403,"5A        ",51,0,129,33.2,51,0.9,129,34,514,565,552,25,"x",,,
"Triangle Island",55,"StRS","D1","Oct 15 ","22:49",1448,"5A        ",51,0.2,129,35.5,51,0,129,35.4,441,315,361,25,"x",,,
"S3",56,"StRS","RD3","Oct 16 ","06:18",1452,"5A        ",51,0.2,129,51.2,51,0.5,129,51.4,1000,1074,1044,25,"x",,,
"S3",57,"StRS","RD3","Oct 16 ","07:21",1506,"5A        ",50,7,129,46.8,50,6.9,129,45.9,1156,695,996,24,"x",,,
"Triangle Island",58,"StRS","D5","Oct 16 ","08:54",1527,"5A        ",51,0.4,129,41.4,51,0.8,129,40.6,1128,1072,1096,25,"x",,,
"S3",59,"StRS","RD1","Oct 16 ","11:01",1547,"5A        ",51,0.5,129,28,51,0.4,129,28.1,287,287,287,25,"x",,,
"S3",60,"StRS","RD2","Oct 16 ","13:10",1560,"5A        ",51,1.7,129,44.3,51,1.9,129,44.3,514,786,729,25,"x",,,
"S3",61,"StRS","RD2","Oct 16 ","15:30",1563,"5A        ",51,0.7,130,1,51,0.1,130,1.4,620,695,658,25,"x",,,
"S3",62,"StRS","RD3","Oct 17 ","19:57",1435,"5B        ",51,7.7,130,8.7,51,7.9,130,9.7,808,832,807,25,"x",,,
"S3",63,"StRS","RD2","Oct 17 ","21:17",1470,"5B        ",51,3.3,130,2.7,51,3.7,130,3.8,713,788,754,25,"x",,,
"S3",64,"StRS","RD1","Oct 17 ","22:48",1504,"5B        ",51,2.9,130,3.9,51,3.7,130,3.9,316,291,378,25,"x",,,
"S3",65,"StRS","RD3","Oct 18 ","07:26",1413,"5B        ",51,3.1,130,39.4,51,2.8,130,38.3,1170,1437,1322,24,,,,
"S3",66,"StRS","RD3","Oct 18 ","09:08",1484,"5B        ",51,8.7,130,23.7,51,9.1,130,24.8,1273,1459,1372,25,"x",,,
"S3",67,"StRS","RD2","Oct 18 ","10:32",1506,"5B        ",51,4.2,130,26.7,51,4.9,130,27.3,622,554,587,25,"x",,,
"S3",68,"StRS","RD1","Oct 18 ","12:03",1506,"5B        ",51,8.3,130,24.7,51,8.9,130,24.7,379,503,427,25,"x",,,
"Cape St. James",69,"StRS","D5","Oct 18 ","13:54",1537,"5B        ",51,0,130,33.2,51,1,130,32.9,1138,1094,1111,26,"x",,,
"S3",70,"StRS","RD3","Oct 18 ","15:14",1572,"5B        ",51,2.7,130,32,51,3.4,130,32.6,947,878,917,25,"x",,,
"Cape St. James",71,"StRS","D4","Oct 19 ","20:02",1472,"5B        ",51,1.5,130,39.7,51,1.9,130,40.7,891,863,880,24,"x",,,
"Cape St. James",72,"StRS","D1","Oct 20 ","06:17",1416,"5B        ",51,8.7,130,39,51,8.2,130,39.7,331,424,392,23,"x",,,
"Cape St. James",73,"StRS","D2","Oct 20 ","07:06",1426,"5B        ",51,7.8,130,38.1,51,7.3,130,38.8,485,574,550,25,"x",,,
"Cape St. James",74,"StRS","D3","Oct 20 ","08:04",1480,"5B        ",51,4.2,130,42.7,51,4.5,130,41.5,658,753,722,25,"x",,,
"S3",75,"StRS","RD2","Oct 20 ","09:45",1508,"5B        ",51,5.8,130,35.8,51,6.5,130,34.9,700,576,630,25,"x",,,
"S3",76,"StRS","RD2","Oct 20 ","11:40",1469,"5B        ",51,5.8,130,31,51,5.7,130,31,514,432,560,24,"x",,,
"S3",77,"StRS","RD1","Oct 20 ","14:02",3219,"5B        ",51,1.9,130,16.3,51,1.9,130,17.4,208,212,211,25,"x",,,
"S3",78,"StRS","RD1","Oct 20 ","15:32",3238,"5B        ",51,2,130,26.7,51,1.9,130,27.8,265,313,287,25,"x",,,
"S3",79,"StRS","RD1","Oct 20 ","17:44",3265,"5B        ",51,4.7,130,46.2,51,4,130,45.7,280,293,296,24,"x",,,
"S4",80,"StRS","RD2","Oct 25 ","14:18",1369,"5E        ",52,0.1,131,31.8,52,0.9,131,31,408,748,576,25,"x",,,
"S4",81,"StRS","RD1","Oct 25 ","16:18",1395,"5E        ",52,0.4,131,15.8,52,0.8,131,16.5,254,274,298,25,"x",,,
"S4",82,"StRS","RD1","Oct 25 ","16:49",1430,"5E        ",52,0.6,131,15.6,52,0.8,131,14.4,355,541,487,25,"x",,,
"S4",83,"StRS","RD1","Oct 25 ","18:25",1472,"5B        ",51,4.4,131,4.4,51,3.6,131,4.1,236,342,296,25,"x",,,
"S4",84,"StRS","RD1","Oct 25 ","18:59",1496,"5B        ",51,3.2,131,2.9,51,2.7,131,2.2,198,221,226,24,"x",,,
"S4",85,"StRS","RD2","Oct 25 ","19:37",1604,"5B        ",51,1.5,131,1.9,51,0.9,131,1.5,640,764,700,25,"x",,,
"Gowgaia Bay",86,"StRS","D5","Oct 26 ","06:27",1455,"5E        ",52,0.3,131,42.2,52,0.5,131,43.4,1022,1119,1083,25,"x",,,
"Gowgaia Bay",87,"StRS","D4","Oct 26 ","07:24",1515,"5E        ",52,4.4,131,43.8,52,4.7,131,42.8,997,797,901,25,"x",,,
"Gowgaia Bay",88,"StRS","D1","Oct 26 ","08:43",1516,"5E        ",52,3.4,131,39.6,52,3.8,131,40.5,315,294,395,25,"x",,,
"Gowgaia Bay",89,"StRS","D3","Oct 26 ","09:40",1544,"5E        ",52,5.1,131,43,52,5.5,131,44.3,534,605,667,25,"x",,,
"S4",90,"StRS","RD3","Oct 27 ","14:16",1504,"5E        ",52,9.1,131,51,52,9.1,131,52.1,797,1061,919,26,"x",,,
"Gowgaia Bay",91,"StRS","D2","Oct 27 ","15:23",1531,"5E        ",52,7,131,45.7,52,6.7,131,44.6,567,547,578,25,"x",,,
"S4",92,"StRS","RD3","Oct 27 ","16:11",1574,"5E        ",52,5.8,131,45.8,52,5.4,131,45,995,843,932,25,"x",,,
"S4",93,"StRS","RD2","Oct 27 ","17:47",1634,"5E        ",52,2,131,39.5,52,2,131,38.4,706,373,563,26,"x",,,
"S4",94,"StRS","RD1","Oct 27 ","20:00",1596,"5E        ",52,9.9,131,36.7,52,9.4,131,37.4,227,510,310,25,"x",,,
"S4",95,"StRS","RD2","Oct 28 ","06:14",1474,"5E        ",52,5.6,132,27.2,52,5.4,132,28.4,406,719,574,24,"x",,,
"S4",96,"StRS","RD1","Oct 28 ","08:24",1452,"5E        ",52,2.2,132,18.7,52,1.8,132,17.8,203,188,198,24,"x",,,
"S4",97,"StRS","RD3","Oct 28 ","10:19",1524,"5E        ",52,5.9,132,25.6,52,6.2,132,24.4,799,1181,967,25,"x",,,
"S4",98,"StRS","RD2","Oct 28 ","12:30",1567,"5E        ",52,0.4,132,6.9,52,0.3,132,6,810,494,753,24,"x",,,
"S4",99,"StRS","RD3","Oct 29 ","19:16",1317,"5E        ",52,7,132,48.8,52,7.6,132,49.3,1106,1110,1111,25,"x",,,
"S4",100,"StRS","RD3","Oct 29 ","20:06",1377,"5E        ",53,0.1,132,49.7,53,0.8,132,49.8,1099,1227,1170,25,"x",,,
"S4",101,"StRS","RD3","Oct 29 ","21:23",1434,"5E        ",53,0.9,132,47.3,53,0.7,132,47.1,1216,1139,1182,25,"x",,,
"Buck Point",102,"StRS","D5","Oct 30 ","06:12",1592,"5E        ",53,0.9,132,39.5,53,0.6,132,39.9,1103,999,1047,25,"x",,,
"Buck Point",103,"StRS","D1","Oct 30 ","06:56",1641,"5E        ",53,0.4,132,40.1,53,0.9,132,41.2,342,492,431,24,"x",,,
"Buck Point",104,"StRS","D4","Oct 30 ","08:01",1749,"5E        ",53,0.9,132,44.1,53,0.3,132,45.4,810,982,942,25,"x",,,
"S4",105,"StRS","RD2","Oct 30 ","08:57",1787,"5E        ",53,0.9,132,43,53,0.9,132,42.6,719,543,604,25,"x",,,
"Buck Point",106,"StRS","D3","Oct 30 ","09:39",1843,"5E        ",53,0.9,132,44.6,53,0.5,132,44.9,764,609,685,25,"x",,,
"Buck Point",107,"StRS","D2","Oct 30 ","11:12",1815,"5E        ",53,1.7,132,45.2,53,1.5,132,46.3,479,647,551,25,"x",,,
"S5",108,"StRS","RD3","Oct 30 ","12:55",1850,"5E        ",53,1.3,133,0.3,53,0.7,133,1.1,903,925,925,25,"x",,,
"S5",109,"StRS","RD2","Oct 31 ","21:49",1354,"5E        ",53,1.1,133,9.9,53,1.7,133,10.7,618,739,678,25,"x",,,
"Hippa Island",110,"StRS","D1","Nov  1 ","06:07",1435,"5E        ",53,0.7,132,55.7,53,0.4,132,57.1,294,539,395,25,"x",,,
"S5",111,"StRS","RD1","Nov  1 ","06:50",1482,"5E        ",53,1.8,132,57.4,53,2.3,132,56.3,399,289,381,25,"x",,,
"Hippa Island",112,"StRS","D2","Nov  1 ","07:47",1500,"5E        ",53,4.3,133,0.2,53,4.3,133,1.5,490,732,560,25,"x",,,
"Hippa Island",113,"StRS","D4","Nov  1 ","08:47",1527,"5E        ",53,5.3,133,5.4,53,5.6,133,4.5,836,892,930,25,"x",,,
"Hippa Island",114,"StRS","D3","Nov  1 ","09:28",1552,"5E        ",53,6.4,133,4.1,53,7.3,133,4.7,620,843,668,25,"x",,,
"S5",115,"StRS","RD2","Nov  1 ","10:12",1581,"5E        ",53,8.8,133,6.5,53,9.3,133,7.6,470,671,537,24,"x",,,
"S5",116,"StRS","RD2","Nov  1 ","11:38",1574,"5E        ",53,6.6,133,8.3,53,7.4,133,8.2,501,887,690,24,"x",,,
"S5",117,"StRS","RD2","Nov  1 ","13:15",1550,"5E        ",53,6.6,133,11.1,53,7.3,133,11.7,505,649,541,25,"x",,,
"S5",118,"StRS","RD3","Nov  1 ","14:41",1548,"5E        ",53,8.2,133,13.8,53,8.5,133,12.9,1002,803,946,24,"x",,,
"Hippa Island",119,"StRS","D5","Nov  2 ","17:17",1731,"5E        ",53,0.2,133,10.4,53,0.7,133,9.5,999,880,1046,26,"x",,,
"S5",120,"StRS","RD2","Nov  2 ","19:20",1487,"5E        ",53,8.1,133,12.2,53,8.3,133,12.2,655,607,600,25,"x",,,
"S5",121,"StRS","RD3","Nov  3 ","06:09",1449,"5E        ",53,0.3,133,24.4,53,1,133,24.7,1006,1028,1016,25,"x",,,
"S5",122,"StRS","RD3","Nov  3 ","06:58",1520,"5E        ",53,2.1,133,24.6,53,2.9,133,24.9,1081,1359,1237,25,"x",,,
"S5",123,"StRS","RD1","Nov  3 ","08:06",1552,"5E        ",53,8.8,133,19.3,53,7.5,133,19.2,230,223,225,25,"x",,,
"S5",124,"StRS","RD1","Nov  3 ","09:15",1572,"5E        ",53,1.8,133,26.1,53,2.3,133,27.3,227,269,240,24,"x",,,
"S5",125,"StRS","RD1","Nov  3 ","09:57",1593,"5E        ",53,5,133,28.8,53,5.1,133,30.3,243,344,294,25,"x",,,
"S5",126,"StRS","RD3","Nov  3 ","11:54",1612,"5E        ",53,1.2,133,43.6,53,2,133,43.6,1240,1242,1239,25,"x",,,
"Langara Island-North Frederick",127,"StRS","D1","Nov  3 ","13:43",1641,"5E        ",54,0.9,133,39.3,54,0.1,133,40.4,388,439,415,25,"x",,,
"Langara Island-North Frederick",128,"StRS","D2","Nov  3 ","14:28",1647,"5E        ",54,0.4,133,39.8,54,0.4,133,40.9,507,576,535,25,"x",,,
"S5",129,"StRS","RD1","Nov  3 ","15:34",1644,"5E        ",54,0.2,133,41,54,0.9,133,41.5,430,457,423,25,"x",,,
"S5",130,"StRS","RD1","Nov  4 ","20:13",1217,"5E        ",54,0.8,133,43.5,54,0.3,133,44.4,397,413,415,25,"x",,,
"Langara Island-North Frederick",131,"StRS","D3","Nov  4 ","21:10",1240,"5E        ",54,0.4,133,47.1,54,0.4,133,48.3,640,834,705,25,"x",,,
"Langara Island-North Frederick",132,"StRS","D4","Nov  4 ","22:08",1260,"5E        ",54,0.3,133,48.6,54,0.9,133,49.4,861,911,908,25,"x",,,
"Langara Island-North Frederick",133,"StRS","D5","Nov  4 ","23:01",1298,"5E        ",54,0.8,133,50,54,0.5,133,51,1028,1130,1090,25,"x",,,
"S5",134,"StRS","RD3","Nov  5 ","00:28",1321,"5E        ",54,0.5,133,58.7,54,0.2,133,58.8,1253,1183,1213,25,"x",,,
"S5",135,"StRS","RD2","Nov  5 ","01:33",1387,"5E        ",54,5.7,133,52,54,6.3,133,51.3,600,571,593,25,"x",,,
"Portland ",136,"Inlet",,"Nov  8 ","12:49",1060,"5D        ",54,8.5,130,16.4,54,7.7,130,16.2,479,501,500,25,"x",,,
"Portland ",137,"Inlet",,"Nov  8 ","13:56",1073,"5D        ",54,2.2,130,11.9,54,1.6,130,11.1,443,443,442,25,"x",,,
"Portland ",138,"Inlet",,"Nov  8 ","15:13",1104,"5D        ",54,5.7,130,22.8,54,5.1,130,22.1,518,549,548,25,"x",,,
"Portland ",139,"Inlet",,"Nov  8 ","16:52",1114,"5D        ",54,2.1,130,26.3,54,2,130,27.3,600,622,606,25,"x",,,
"Portland ",140,"Inlet",,"Nov  8 ","17:33",1155,"5D        ",54,9.9,130,31.4,54,9.2,130,30.9,647,649,650,25,"x",,,
"Gil Island",141,"Inlet",,"Nov 10 ","12:22",1081,"5C        ",53,1.1,129,7.4,53,0.7,129,8.1,565,576,577,25,"x",,,
"Gil Island",142,"Inlet",,"Nov 10 ","13:06",1113,"5C        ",53,0.1,129,7,53,0.5,129,7.8,549,518,567,25,"x",,,
"Gil Island",143,"Inlet",,"Nov 10 ","14:31",1180,"5C        ",53,0.5,129,22.4,53,0.9,129,21.4,649,669,663,25,"x",,,
"Gil Island",144,"Inlet",,"Nov 10 ","15:28",1203,"5C        ",53,2.3,129,23.4,53,2.5,129,22.2,532,538,558,25,"x",,,
"Gil Island",145,"Inlet",,"Nov 10 ","16:34",1236,"5C        ",53,8.9,129,17.9,53,8.4,129,18.4,530,545,543,25,"x",,,
"Finlayson ",146,"Inlet",,"Nov 12 ","11:15",1073,"5C        ",52,7.1,128,25.7,52,7,128,26.7,550,591,593,25,"x",,,
"Finlayson ",147,"Inlet",,"Nov 12 ","12:03",1094,"5C        ",52,4.1,128,28.3,52,3.7,128,27.3,587,505,642,25,"x",,,
"Finlayson ",148,"Inlet",,"Nov 12 ","12:58",1117,"5C        ",52,9.8,128,28.4,52,9.1,128,28.2,582,640,638,25,"x",,,
"Finlayson ",149,"Inlet",,"Nov 12 ","13:51",1144,"5C        ",52,4.9,128,28.2,52,4.4,128,27.4,711,675,689,25,"x",,,
"Finlayson ",150,"Inlet",,"Nov 12 ","15:15",1162,"5C        ",52,1.2,128,27.5,52,1.3,128,28.6,669,693,731,25,"x",,,
"Dean/Burke ",151,"Inlet",,"Nov 14 ","11:48",1045,"5B        ",52,0.6,127,28.6,52,1.1,127,27.8,529,527,528,25,"x",,,
"Dean/Burke ",152,"Inlet",,"Nov 14 ","13:25",1064,"5B        ",52,6.7,127,16.1,52,6.4,127,14.9,539,465,525,24,"x",,,
"Dean/Burke ",153,"Inlet",,"Nov 14 ","15:00",1085,"5B        ",52,7,127,15.1,52,6.2,127,14.8,543,593,589,25,"x",,,
"Dean/Burke ",154,"Inlet",,"Nov 14 ","15:56",1127,"5B        ",52,3.3,127,24.6,52,3.2,127,25.8,587,602,599,24,"x",,,
"Dean/Burke ",155,"Inlet",,"Nov 14 ","16:58",1167,"5B        ",52,0.9,127,35.1,52,0.2,127,36,439,432,444,25,"x",,,
,156,"StRS",,"Nov  9 ","20:33",184,"5D        ",53,8.1,130,48.3,53,8.6,130,48,135,117,121,10,"x",,,
,157,"StRS",,"Nov  9 ","21:41",184,"5D        ",53,4.4,130,43.8,53,5,130,43.3,150,152,150,10,"x",,,
