"species_name","SET","morph_type","Len Sample Count","Sex Sample Count","Sample_count","Proportion Males","malelen","femlen","nosexlen"
"ARROWTOOTH FLOUNDER",7,"FORK LENGTH",49,49,55,0,0,561,578
"ARROWTOOTH FLOUNDER",8,"FORK LENGTH",20,20,58,0.05,450,565,0
"ARROWTOOTH FLOUNDER",10,"FORK LENGTH",20,20,46,0.05,446,539,0
"ARROWTOOTH FLOUNDER",11,"FORK LENGTH",5,4,11,0,0,584,535
"ARROWTOOTH FLOUNDER",12,"FORK LENGTH",35,35,53,0,0,565,650
"ARROWTOOTH FLOUNDER",17,"FORK LENGTH",17,17,18,0,0,573,559
"ARROWTOOTH FLOUNDER",18,"FORK LENGTH",1,1,1,0,0,606,0
"ARROWTOOTH FLOUNDER",24,"FORK LENGTH",1,1,1,0,0,575,0
"ARROWTOOTH FLOUNDER",34,"FORK LENGTH",5,5,6,0.25,451,547,535
"ARROWTOOTH FLOUNDER",40,"FORK LENGTH",35,35,43,0,0,559,0
"ARROWTOOTH FLOUNDER",43,"FORK LENGTH",1,1,2,0,0,594,0
"ARROWTOOTH FLOUNDER",46,"FORK LENGTH",56,56,56,0,0,556,0
"ARROWTOOTH FLOUNDER",47,"FORK LENGTH",9,9,9,0,0,526,0
"ARROWTOOTH FLOUNDER",50,"FORK LENGTH",2,2,2,0,0,597,0
"ARROWTOOTH FLOUNDER",51,"FORK LENGTH",26,26,26,0,0,541,0
"ARROWTOOTH FLOUNDER",55,"FORK LENGTH",17,17,17,0,0,560,590
"ARROWTOOTH FLOUNDER",56,"FORK LENGTH",4,4,4,0,0,598,0
"ARROWTOOTH FLOUNDER",57,"FORK LENGTH",2,2,2,0,0,649,0
"ARROWTOOTH FLOUNDER",69,"FORK LENGTH",32,32,32,0,0,537,0
"ARROWTOOTH FLOUNDER",70,"FORK LENGTH",55,55,58,0,0,550,552
"ARROWTOOTH FLOUNDER",74,"FORK LENGTH",6,6,6,0,0,532,0
"ARROWTOOTH FLOUNDER",78,"FORK LENGTH",66,66,66,0,0,555,518
"ARROWTOOTH FLOUNDER",79,"FORK LENGTH",49,49,48,0,0,547,567
"ARROWTOOTH FLOUNDER",80,"FORK LENGTH",5,5,5,0,0,583,0
"ARROWTOOTH FLOUNDER",81,"FORK LENGTH",3,3,3,0,0,520,0
"ARROWTOOTH FLOUNDER",94,"FORK LENGTH",19,19,29,0.05,532,545,0
"ARROWTOOTH FLOUNDER",100,"FORK LENGTH",2,2,3,0,0,525,0
"ARROWTOOTH FLOUNDER",105,"FORK LENGTH",3,3,3,0,0,548,0
"ARROWTOOTH FLOUNDER",106,"FORK LENGTH",21,21,90,0,0,550,515
"ARROWTOOTH FLOUNDER",109,"FORK LENGTH",7,7,7,0.14,422,547,0
"ARROWTOOTH FLOUNDER",124,"FORK LENGTH",6,6,6,0,0,544,0
"ARROWTOOTH FLOUNDER",129,"FORK LENGTH",29,29,110,0.03,584,530,0
"BOCACCIO",51,"FORK LENGTH",1,1,1,1,692,0,0
"BOCACCIO",58,"FORK LENGTH",1,1,1,1,751,0,0
"CANARY ROCKFISH",121,"FORK LENGTH",1,1,1,1,568,0,0
"DOVER SOLE",124,"FORK LENGTH",1,1,1,1,456,0,0
"GREENSTRIPED ROCKFISH",121,"FORK LENGTH",1,1,1,0,0,296,0
"LINGCOD",39,"FORK LENGTH",3,3,3,0,0,870,0
"LINGCOD",40,"FORK LENGTH",1,1,1,0,0,886,0
"LINGCOD",45,"FORK LENGTH",3,3,3,0,0,897,0
"LINGCOD",46,"FORK LENGTH",1,1,1,0,0,868,0
"LINGCOD",47,"FORK LENGTH",6,6,7,0,0,856,810
"LINGCOD",50,"FORK LENGTH",2,2,2,0,0,976,0
"LINGCOD",51,"FORK LENGTH",4,4,4,0,0,860,0
"LINGCOD",55,"FORK LENGTH",2,2,2,0,0,1028,0
"LINGCOD",57,"FORK LENGTH",8,8,8,0.25,869,922,0
"PACIFIC HALIBUT",7,"FORK LENGTH",1,1,2,1,870,0,0
"PACIFIC HALIBUT",18,"FORK LENGTH",1,1,1,0,0,0,678
"PACIFIC HALIBUT",79,"FORK LENGTH",1,1,1,1,731,0,0
"PACIFIC OCEAN PERCH",7,"FORK LENGTH",1,1,1,1,410,0,0
"PACIFIC OCEAN PERCH",69,"FORK LENGTH",1,1,1,0,0,400,0
"REDBANDED ROCKFISH",7,"FORK LENGTH",3,3,3,0.33,390,415,0
"REDBANDED ROCKFISH",8,"FORK LENGTH",1,1,1,0,0,340,0
"REDBANDED ROCKFISH",10,"FORK LENGTH",1,1,2,1,467,0,0
"REDBANDED ROCKFISH",11,"FORK LENGTH",1,1,1,0,0,356,0
"REDBANDED ROCKFISH",12,"FORK LENGTH",2,2,2,0.5,455,370,0
"REDBANDED ROCKFISH",17,"FORK LENGTH",2,2,2,1,315,0,0
"REDBANDED ROCKFISH",35,"FORK LENGTH",3,3,3,0.33,353,312,0
"REDBANDED ROCKFISH",39,"FORK LENGTH",3,3,3,0,0,450,0
"REDBANDED ROCKFISH",40,"FORK LENGTH",2,2,2,0.5,352,322,0
"REDBANDED ROCKFISH",45,"FORK LENGTH",18,18,18,0.83,480,443,0
"REDBANDED ROCKFISH",46,"FORK LENGTH",18,18,18,0.17,454,484,0
"REDBANDED ROCKFISH",47,"FORK LENGTH",18,18,19,0.22,444,456,0
"REDBANDED ROCKFISH",50,"FORK LENGTH",3,3,3,0,0,469,0
"REDBANDED ROCKFISH",51,"FORK LENGTH",11,11,11,0.73,450,518,0
"REDBANDED ROCKFISH",55,"FORK LENGTH",3,3,3,0,0,368,0
"REDBANDED ROCKFISH",56,"FORK LENGTH",4,4,4,0.5,421,402,0
"REDBANDED ROCKFISH",57,"FORK LENGTH",16,16,16,0.75,480,473,0
"REDBANDED ROCKFISH",58,"FORK LENGTH",19,19,20,0.63,456,485,0
"REDBANDED ROCKFISH",69,"FORK LENGTH",4,4,4,0.5,392,426,0
"REDBANDED ROCKFISH",70,"FORK LENGTH",4,4,4,0.5,424,381,0
"REDBANDED ROCKFISH",78,"FORK LENGTH",3,3,3,0.33,380,419,0
"REDBANDED ROCKFISH",82,"FORK LENGTH",1,1,2,1,464,0,0
"REDBANDED ROCKFISH",84,"FORK LENGTH",5,4,5,0.5,485,438,512
"REDBANDED ROCKFISH",85,"FORK LENGTH",1,1,1,1,496,0,0
"REDBANDED ROCKFISH",90,"FORK LENGTH",2,2,2,1,388,0,0
"REDBANDED ROCKFISH",94,"FORK LENGTH",3,3,3,0.67,405,444,0
"REDBANDED ROCKFISH",100,"FORK LENGTH",4,4,4,1,434,0,0
"REDBANDED ROCKFISH",112,"FORK LENGTH",4,4,4,0.25,332,434,0
"REDBANDED ROCKFISH",116,"FORK LENGTH",1,1,1,1,485,0,0
"REDBANDED ROCKFISH",117,"FORK LENGTH",3,3,3,0.67,446,537,0
"ROSETHORN ROCKFISH",7,"FORK LENGTH",2,2,2,0.5,290,300,0
"ROSETHORN ROCKFISH",10,"FORK LENGTH",1,1,1,1,214,0,0
"ROSETHORN ROCKFISH",55,"FORK LENGTH",1,1,1,0,0,302,0
"ROSETHORN ROCKFISH",56,"FORK LENGTH",1,1,1,1,333,0,0
"ROSETHORN ROCKFISH",63,"FORK LENGTH",1,1,1,1,232,0,0
"ROSETHORN ROCKFISH",85,"FORK LENGTH",1,1,1,1,319,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",7,"FORK LENGTH",8,8,8,0.63,468,543,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",8,"FORK LENGTH",5,5,5,0.8,465,440,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",9,"FORK LENGTH",1,1,1,1,480,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",10,"FORK LENGTH",6,6,6,0.67,498,561,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",11,"FORK LENGTH",12,12,14,0.42,444,475,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",12,"FORK LENGTH",5,5,5,1,456,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",18,"FORK LENGTH",6,6,6,0.83,509,571,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",34,"FORK LENGTH",2,2,2,1,427,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",35,"FORK LENGTH",32,32,32,0.65,477,484,596
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",40,"FORK LENGTH",36,36,31,0.58,458,467,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",43,"FORK LENGTH",12,12,12,0.5,481,472,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",52,"FORK LENGTH",12,12,13,0.58,532,491,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",55,"FORK LENGTH",8,8,8,0.88,437,448,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",56,"FORK LENGTH",56,56,56,0.64,481,481,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",69,"FORK LENGTH",3,3,3,0.67,409,564,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",70,"FORK LENGTH",3,3,3,0.33,495,488,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",74,"FORK LENGTH",1,1,1,0,0,484,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",78,"FORK LENGTH",25,25,25,0.8,451,433,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",82,"FORK LENGTH",31,31,29,0.19,451,450,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",84,"FORK LENGTH",33,33,34,0.42,568,559,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",85,"FORK LENGTH",14,14,15,0.5,506,444,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",87,"FORK LENGTH",3,3,3,0.33,506,508,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",90,"FORK LENGTH",13,13,13,0.38,454,462,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",94,"FORK LENGTH",11,11,11,0.55,445,534,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",96,"FORK LENGTH",9,9,9,0.67,473,496,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",106,"FORK LENGTH",42,42,42,0.69,467,472,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",111,"FORK LENGTH",23,23,23,0.43,459,462,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",112,"FORK LENGTH",19,19,19,0.68,475,469,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",117,"FORK LENGTH",1,1,1,0,0,501,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",118,"FORK LENGTH",26,26,26,0.65,466,468,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",123,"FORK LENGTH",9,9,9,0.33,452,506,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",125,"FORK LENGTH",26,26,50,0.54,463,475,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",129,"FORK LENGTH",9,9,9,0.56,470,469,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",130,"FORK LENGTH",19,19,17,0.58,469,486,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",131,"FORK LENGTH",21,21,21,0.43,468,480,0
"SHARPCHIN ROCKFISH",100,"FORK LENGTH",1,1,1,1,243,0,0
"SHORTRAKER ROCKFISH",30,"FORK LENGTH",1,1,1,1,688,0,0
"SHORTRAKER ROCKFISH",40,"FORK LENGTH",1,1,1,1,544,0,0
"SHORTRAKER ROCKFISH",43,"FORK LENGTH",3,3,3,0.33,603,589,0
"SHORTRAKER ROCKFISH",52,"FORK LENGTH",9,9,8,0.33,604,565,0
"SHORTRAKER ROCKFISH",82,"FORK LENGTH",8,8,9,0.38,665,686,0
"SHORTRAKER ROCKFISH",84,"FORK LENGTH",3,3,3,0.67,685,677,0
"SHORTRAKER ROCKFISH",85,"FORK LENGTH",1,1,1,1,759,0,0
"SHORTRAKER ROCKFISH",86,"FORK LENGTH",3,3,3,0.67,548,544,0
"SHORTRAKER ROCKFISH",87,"FORK LENGTH",21,21,21,0.33,631,570,0
"SHORTRAKER ROCKFISH",96,"FORK LENGTH",5,5,5,0.6,525,593,0
"SHORTRAKER ROCKFISH",97,"FORK LENGTH",1,1,1,0,0,535,0
"SHORTRAKER ROCKFISH",111,"FORK LENGTH",1,1,1,0,0,555,0
"SHORTRAKER ROCKFISH",112,"FORK LENGTH",2,2,2,1,537,0,0
"SHORTRAKER ROCKFISH",118,"FORK LENGTH",3,3,3,0.33,642,610,0
"SHORTRAKER ROCKFISH",123,"FORK LENGTH",1,1,1,0,0,632,0
"SHORTRAKER ROCKFISH",127,"FORK LENGTH",1,1,1,0,0,432,0
"SHORTRAKER ROCKFISH",129,"FORK LENGTH",2,2,2,0,0,628,0
"SHORTRAKER ROCKFISH",130,"FORK LENGTH",5,5,5,0.6,625,585,0
"SHORTRAKER ROCKFISH",131,"FORK LENGTH",2,2,2,0,0,591,0
"SHORTRAKER ROCKFISH",136,"FORK LENGTH",1,1,1,1,754,0,0
"SHORTRAKER ROCKFISH",147,"FORK LENGTH",2,2,2,0.5,548,726,0
"SILVERGRAY ROCKFISH",58,"FORK LENGTH",1,1,1,0,0,612,0
"YELLOWEYE ROCKFISH",39,"FORK LENGTH",6,6,6,0,0,553,0
"YELLOWEYE ROCKFISH",47,"FORK LENGTH",1,1,1,1,539,0,0
"YELLOWEYE ROCKFISH",50,"FORK LENGTH",3,3,3,1,604,0,0
"YELLOWEYE ROCKFISH",58,"FORK LENGTH",47,47,47,0.66,574,535,0
"YELLOWEYE ROCKFISH",121,"FORK LENGTH",3,3,3,1,677,0,0
"DOVER SOLE",8,"TOTAL LENGTH",3,3,3,0.33,500,500,0
"DOVER SOLE",9,"TOTAL LENGTH",1,1,1,1,440,0,0
"DOVER SOLE",29,"TOTAL LENGTH",1,1,1,0,0,447,0
"NORTH PACIFIC SPINY DOGFISH",7,"TOTAL LENGTH",48,48,132,0.52,667,666,0
"NORTH PACIFIC SPINY DOGFISH",10,"TOTAL LENGTH",2,2,2,0.5,714,684,0
"NORTH PACIFIC SPINY DOGFISH",12,"TOTAL LENGTH",11,11,11,0.64,768,678,0
"NORTH PACIFIC SPINY DOGFISH",17,"TOTAL LENGTH",7,7,7,0.29,712,852,0
"NORTH PACIFIC SPINY DOGFISH",39,"TOTAL LENGTH",3,3,3,0.67,767,988,0
"NORTH PACIFIC SPINY DOGFISH",45,"TOTAL LENGTH",20,20,20,0.35,829,907,0
"NORTH PACIFIC SPINY DOGFISH",46,"TOTAL LENGTH",3,3,3,0,0,848,0
"NORTH PACIFIC SPINY DOGFISH",47,"TOTAL LENGTH",8,8,8,0.5,804,1010,0
"NORTH PACIFIC SPINY DOGFISH",50,"TOTAL LENGTH",18,18,18,0.11,793,927,0
"NORTH PACIFIC SPINY DOGFISH",51,"TOTAL LENGTH",4,4,4,0.25,835,982,0
"NORTH PACIFIC SPINY DOGFISH",56,"TOTAL LENGTH",1,1,1,0,0,1037,0
"NORTH PACIFIC SPINY DOGFISH",57,"TOTAL LENGTH",10,10,5,0.3,752,941,0
"NORTH PACIFIC SPINY DOGFISH",58,"TOTAL LENGTH",6,6,6,0.17,778,757,0
"NORTH PACIFIC SPINY DOGFISH",70,"TOTAL LENGTH",18,18,19,0.44,807,922,0
"NORTH PACIFIC SPINY DOGFISH",94,"TOTAL LENGTH",20,20,33,0.35,825,979,0
"NORTH PACIFIC SPINY DOGFISH",100,"TOTAL LENGTH",40,40,40,0.18,868,1004,0
"PACIFIC FLATNOSE",14,"TOTAL LENGTH",5,5,5,0.8,489,581,0
"PACIFIC FLATNOSE",15,"TOTAL LENGTH",6,6,6,0.5,444,427,0
"PACIFIC FLATNOSE",21,"TOTAL LENGTH",9,9,9,0.89,488,472,0
"PACIFIC FLATNOSE",22,"TOTAL LENGTH",3,3,3,0,0,450,0
"PACIFIC FLATNOSE",32,"TOTAL LENGTH",5,5,5,0.4,555,537,0
"PACIFIC FLATNOSE",37,"TOTAL LENGTH",1,1,1,0,0,388,0
"PACIFIC FLATNOSE",41,"TOTAL LENGTH",1,1,1,0,0,365,0
"PACIFIC FLATNOSE",62,"TOTAL LENGTH",3,3,3,0.67,452,414,0
"PACIFIC FLATNOSE",72,"TOTAL LENGTH",2,2,2,1,443,0,0
"PACIFIC FLATNOSE",73,"TOTAL LENGTH",1,1,1,0,0,400,0
"PACIFIC FLATNOSE",98,"TOTAL LENGTH",3,3,3,1,481,0,0
"PACIFIC FLATNOSE",102,"TOTAL LENGTH",1,1,1,1,382,0,0
"PACIFIC FLATNOSE",120,"TOTAL LENGTH",1,1,1,0,0,435,0
"PACIFIC SLEEPER SHARK",81,"TOTAL LENGTH",1,0,1,0,0,0,927
"SHORTSPINE THORNYHEAD",48,"TOTAL LENGTH",1,1,2,0,0,432,0
"SHORTSPINE THORNYHEAD",49,"TOTAL LENGTH",2,2,2,0,0,481,0
"SHORTSPINE THORNYHEAD",52,"TOTAL LENGTH",2,2,2,0,0,453,0
"SHORTSPINE THORNYHEAD",69,"TOTAL LENGTH",2,2,2,0,0,243,0
"SHORTSPINE THORNYHEAD",75,"TOTAL LENGTH",2,2,2,0.5,262,273,0
"SHORTSPINE THORNYHEAD",91,"TOTAL LENGTH",1,1,1,0,0,551,0
